 Subject: Education and Literacy 
 Topic : Highest Qualification Attained 
" Title  : M850581 - Singapore Residents Aged 25 Years & Over By Highest Qualification Attained, Sex, And Age Group, Annual "
, , ,Thousand
 Variables , 2009 , 2010 , 2011 ,
 Total ," 2,523 "," 2,576 "," 2,601.9 ",
 25 - 29 Years , 237.8 , 249.4 , 230.9 ,
 30 - 34 Years , 280.2 , 289.3 , 280.1 ,
 35 - 39 Years , 312.9 , 317.3 , 306.9 ,
 40 - 44 Years , 311.9 , 303.5 , 302.3 ,
 45 - 49 Years , 319 , 319.6 , 321.7 ,
 50 - 54 Years , 298.4 , 303.6 , 309.6 ,
 55 - 59 Years , 233.3 , 252.8 , 267.4 ,
 60 - 64 Years , 182.1 , 196.4 , 209.4 ,
 65 Years & Over , 347.4 , 344.1 , 373.7 ,
 Total - Diploma & Professional Qualification , 314.9 , 342.4 , 352.3 ,
 25 - 29 Years , 63.7 , 63.7 , 59.9 ,
 30 - 34 Years , 61.5 , 66.9 , 66.5 ,
 35 - 39 Years , 56.9 , 62.2 , 60.5 ,
 40 - 44 Years , 42.9 , 48 , 50 ,
 45 - 49 Years , 34.7 , 36.2 , 40.2 ,
 50 - 54 Years , 23.6 , 27 , 32 ,
 55 - 59 Years , 12.2 , 17.3 , 19 ,
 60 - 64 Years , 9.4 , 11.1 , 11.5 ,
 65 Years & Over , 10 , 10.1 , 12.6 ,
 Total - University , 568.9 , 610 , 638.6 ,
 25 - 29 Years , 104.5 , 114.3 , 105.5 ,
 30 - 34 Years , 131.6 , 136.5 , 136.1 ,
 35 - 39 Years , 118 , 126.6 , 134.4 ,
 40 - 44 Years , 84.1 , 88.1 , 99.9 ,
 45 - 49 Years , 54.7 , 60.4 , 69 ,
 50 - 54 Years , 33.2 , 35.5 , 38.9 ,
 55 - 59 Years , 19.7 , 22.3 , 23.3 ,
 60 - 64 Years , 11.1 , 13.5 , 15.3 ,
 65 Years & Over , 11.9 , 12.7 , 16.3 ,
 Total Males ," 1,210.9 "," 1,242.4 "," 1,249.5 ",
 25 - 29 Years , 113.4 , 118.2 , 110.9 ,
 30 - 34 Years , 131.7 , 136.8 , 130.4 ,
 35 - 39 Years , 144.3 , 152.8 , 147.1 ,
 40 - 44 Years , 154.1 , 148.1 , 143.5 ,
 45 - 49 Years , 158.4 , 159.3 , 160.2 ,
 50 - 54 Years , 148.2 , 151.9 , 154 ,
 55 - 59 Years , 117.8 , 127.2 , 132.3 ,
 60 - 64 Years , 88 , 96.5 , 104.4 ,
 65 Years & Over , 155.1 , 151.5 , 166.8 ,
 Total Males - Diploma & Professional Qualification , 165.8 , 177.3 , 186.1 ,
 25 - 29 Years , 31.7 , 31.2 , 30.7 ,
 30 - 34 Years , 31.2 , 32 , 33.1 ,
 35 - 39 Years , 26.5 , 29.4 , 29.3 ,
 40 - 44 Years , 21.1 , 24.2 , 25.3 ,
 45 - 49 Years , 20.7 , 19.5 , 21.6 ,
 50 - 54 Years , 14.5 , 15.9 , 19.1 ,
 55 - 59 Years , 7.9 , 11.4 , 12.1 ,
 60 - 64 Years , 5.6 , 7.2 , 7.4 ,
 65 Years & Over , 6.6 , 6.5 , 7.6 ,
 Total Males - University , 302.4 , 321.9 , 331.3 ,
 25 - 29 Years , 44.1 , 49.6 , 44.3 ,
 30 - 34 Years , 62.1 , 64.4 , 61.2 ,
 35 - 39 Years , 60.9 , 66.2 , 69.2 ,
 40 - 44 Years , 50.8 , 50.1 , 54.8 ,
 45 - 49 Years , 33.5 , 36 , 41.3 ,
 50 - 54 Years , 21.2 , 22.2 , 23.8 ,
 55 - 59 Years , 13.3 , 14.8 , 14.6 ,
 60 - 64 Years , 7.9 , 9.3 , 10.5 ,
 65 Years & Over , 8.7 , 9.2 , 11.6 ,
 Total Females ," 1,312 "," 1,333.6 "," 1,352.4 ",
 25 - 29 Years , 124.4 , 131.2 , 120 ,
 30 - 34 Years , 148.5 , 152.6 , 149.7 ,
 35 - 39 Years , 168.7 , 164.5 , 159.8 ,
 40 - 44 Years , 157.8 , 155.4 , 158.9 ,
 45 - 49 Years , 160.6 , 160.3 , 161.5 ,
 50 - 54 Years , 150.2 , 151.7 , 155.5 ,
 55 - 59 Years , 115.5 , 125.6 , 135 ,
 60 - 64 Years , 94.1 , 99.8 , 105 ,
 65 Years & Over , 192.3 , 192.5 , 206.9 ,
 Total Females - Diploma & Professional Qualification , 149.1 , 165.1 , 166.1 ,
 25 - 29 Years , 32 , 32.4 , 29.2 ,
 30 - 34 Years , 30.2 , 34.9 , 33.4 ,
 35 - 39 Years , 30.4 , 32.8 , 31.3 ,
 40 - 44 Years , 21.8 , 23.8 , 24.7 ,
 45 - 49 Years , 14 , 16.7 , 18.6 ,
 50 - 54 Years , 9.1 , 11.1 , 12.9 ,
 55 - 59 Years , 4.3 , 5.8 , 6.9 ,
 60 - 64 Years , 3.8 , 3.9 , 4.1 ,
 65 Years & Over , 3.4 , 3.6 , 5 ,
 Total Females - University , 266.4 , 288.1 , 307.3 ,
 25 - 29 Years , 60.4 , 64.7 , 61.2 ,
 30 - 34 Years , 69.5 , 72.1 , 74.9 ,
 35 - 39 Years , 57.1 , 60.4 , 65.2 ,
 40 - 44 Years , 33.3 , 38 , 45.1 ,
 45 - 49 Years , 21.2 , 24.4 , 27.7 ,
 50 - 54 Years , 12 , 13.3 , 15 ,
 55 - 59 Years , 6.4 , 7.5 , 8.7 ,
 60 - 64 Years , 3.3 , 4.2 , 4.8 ,
 65 Years & Over , 3.3 , 3.5 , 4.7 ,

Data pertain to residents who are not attending educational institutions as full-time students.  The data include those who are upgrading their qualifications through part-time courses while working.





Generated by: SingStat Table Builder 
Date generated: 03/08/2015
Contact: info@singstat.gov.sg 
