 Subject: Corporate Sector ,,,,,,,,,
 Topic : Corporate Sector ,,,,,,,,,
" Title  : M084931 - Total Assets By Main Industrial Sectors (End Of Period), Annual ",,,,,,,,,
, , , , , , , , ,Billion Dollars
 Variables ,2004,2005,2006,2007,2008,2009,2010,2011,2012
 Total ,"2,796.30","3,092.40","3,418","4,014.30","4,156.90","4,269.20","4,644.20","4,862.60","5,156.80"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Generated by: SingStat Table Builder ,,,,,,,,,
Date generated: 20/08/2015,,,,,,,,,
Contact: info@singstat.gov.sg ,,,,,,,,,
