 Subject: Corporate Sector ,,,,,,,,,
 Topic : Corporate Sector ,,,,,,,,,
" Title  : M084921 - Total Equity By Main Industrial Sectors (End Of Period), Annual ",,,,,,,,,
, , , , , , , , ,Billion Dollars
 Variables ,2004,2005,2006,2007,2008,2009,2010,2011,2012
 Total ,701.2,780.8,847.8,"1,057.50","1,048.10","1,218.30","1,300.10","1,271.20","1,447.60"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Generated by: SingStat Table Builder ,,,,,,,,,
Date generated: 20/08/2015,,,,,,,,,
Contact: info@singstat.gov.sg ,,,,,,,,,
