COYNAME,REGNO,ACCTYPEDESC,COYDESC,FYEAR,REVENUE_AMT,PBFTAX,LBFTAX,PAFTAX,LAFTAX,TTASSET,TTCRASSET,TTNCRASSET,TTLIAB,TTCRLIAB,TTNCRLIAB,TTEQUITY,PUCAP,SHARECAP,OTHERRESERVESTT,RETAINEARN,AR_NETPROFITSALES,AR_RETINVESTMENT,AR_RETSHAREFUNDS,AR_TASSETSTO,AR_CURRWCAP,AR_PROPRATIO,AR_TOTALDEBT
AA GROUP HOLDINGS LTD.,200412064D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"12,340,123.00","1,275,614.00","11,064,509.00","198,642.00","198,642.00",0.00,"12,141,481.00",1.00,"12,515,906.00",0.00,"-374,425.00",0.00,0.00,0.00,,6.42,98.39,1.61
EPICENTRE HOLDINGS LIMITED,200202930G,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"14,527,000.00","13,401,000.00","1,126,000.00","664,000.00","648,000.00","16,000.00","13,863,000.00",6.00,"6,709,000.00",0.00,"7,154,000.00",0.00,0.00,0.00,,20.68,95.43,4.57
JEP HOLDINGS LTD.,199401749E,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,"4,646,000.00","-4,609,000.00",,"-4,569,000.00",,"38,291,000.00","8,624,000.00","29,667,000.00","4,818,000.00","3,924,000.00","894,000.00","33,473,000.00",0.00,"74,950,000.00",0.00,"-41,477,000.00",-98.34,-11.93,-13.65,0.12,2.20,87.42,12.58
AP OIL INTERNATIONAL LIMITED,197502257M,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"25,457,000.00","18,867,000.00","6,590,000.00","7,473,000.00","7,404,000.00","69,000.00","17,984,000.00",0.00,"6,606,000.00","-1,392,000.00","12,770,000.00",0.00,0.00,0.00,,2.55,70.64,29.36
ASA GROUP HOLDINGS LTD,199508258M,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"96,242,000.00","723,000.00","95,519,000.00","3,094,000.00","3,094,000.00",0.00,"93,148,000.00",0.00,"243,713,000.00",0.00,"-150,565,000.00",0.00,0.00,0.00,,0.23,96.79,3.21
SINARMAS LAND LIMITED,199400619R,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2010,,,,,,"1,978,802,000.00","552,465,000.00","1,426,337,000.00","70,791,000.00","70,422,000.00","369,000.00","1,908,011,000.00",0.00,"1,907,108,000.00",0.00,"903,000.00",0.00,0.00,0.00,,7.85,96.42,3.58
HEINEKEN ASIA PACIFIC PTE. LTD.,193100007K,Consolidated,LIMITED PRIVATE COMPANY,2009,,,,,,"1,154,682,000.00","121,122,000.00","1,033,560,000.00","30,881,000.00","30,881,000.00",0.00,"1,123,801,000.00",0.00,"277,538,000.00","46,522,000.00","799,741,000.00",0.00,0.00,0.00,,3.92,97.33,2.67
ASJ HOLDINGS LIMITED,199601740N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"24,677,000.00","361,000.00","24,316,000.00","1,174,000.00","1,174,000.00",0.00,"23,503,000.00",0.00,"27,096,000.00","192,000.00","-3,785,000.00",0.00,0.00,0.00,,0.31,95.24,4.76
ASL MARINE HOLDINGS LTD.,200008542N,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2009,,,,,,"185,942,000.00","150,678,000.00","35,264,000.00","87,353,000.00","76,308,000.00","11,045,000.00","98,589,000.00",0.00,"83,051,000.00","-815,000.00","17,276,000.00",0.00,0.00,0.00,,1.97,53.02,46.98
BAKER TECHNOLOGY LIMITED,198100637D,Consolidated,PUBLIC COMPANY LIMITED BY SHARES,2011,,,,,,"192,508,513.00","142,754,203.00","49,754,310.00","143,515,028.00","143,515,028.00",0.00,"48,993,485.00",0.00,"36,053,443.00","-5,155,731.00","18,095,773.00",0.00,0.00,0.00,,0.99,25.45,74.55
