"","FYEAR","COYNAME","REGNO","ACCTYPEDESC","COYDESC","REVENUE_AMT","PBFTAX","LBFTAX","PAFTAX","LAFTAX","TTASSET","TTCRASSET","TTNCRASSET","TTLIAB","TTCRLIAB","TTNCRLIAB","TTEQUITY","PUCAP","SHARECAP","OTHERRESERVESTT","RETAINEARN","AR_NETPROFITSALES","AR_RETINVESTMENT","AR_RETSHAREFUNDS","AR_TASSETSTO","AR_CURRWCAP","AR_PROPRATIO","AR_TOTALDEBT","EMPLOYMENT_RATE","SG_GDP"
"1",2009,"AA GROUP HOLDINGS LTD.","200412064D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,12340123,1275614,11064509,198642,198642,0,12141481,"1.00",12515906,0,-374425,"0.00","0.00","0.00",0,"6.42","98.39","1.61",2952.4,-1.3
"2",2009,"JAPAN FOODS HOLDING LTD.","200722314M","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,8063000,3085000,4978000,1081000,1081000,0,6982000,"1.00",6603000,0,379000,"0.00","0.00","0.00",0,"2.85","86.59","13.41",2952.4,-1.3
"3",2009,"GOODLAND GROUP LIMITED","200405522N","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,4579608,2763528,1816080,3733992,3733992,0,845616,"4.00",916080,-70464,0,"0.00","0.00","0.00",0,"0.74","18.46","81.54",2952.4,-1.3
"4",2009,"JUKEN TECHNOLOGY LIMITED","199200539Z","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,33440000,17387000,16053000,10420000,7832000,2588000,23020000,"0.00",19098000,2320000,1624000,"0.00","0.00","0.00",0,"2.22","68.84","31.16",2952.4,-1.3
"5",2009,"P99 HOLDINGS LIMITED","200311696K","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,28783000,132000,28651000,32280000,32280000,0,-3497000,"2.00",67781000,-1719000,-69559000,"0.00","0.00","0.00",0,"0.00","-12.15","112.15",2952.4,-1.3
"6",2009,"CHINA TAISAN TECHNOLOGY GROUP HOLDINGS LIMITED","200711863D","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,373725000,292705000,81020000,1775000,1775000,0,371950000,"1.00",337799000,0,34151000,"0.00","0.00","0.00",0,"164.90","99.53","0.47",2952.4,-1.3
"7",2009,"HEINEKEN ASIA PACIFIC PTE. LTD.","193100007K","Consolidated","LIMITED PRIVATE COMPANY","","",0,"",0,1154682000,121122000,1033560000,30881000,30881000,0,1123801000,"0.00",277538000,46522000,799741000,"0.00","0.00","0.00",0,"3.92","97.33","2.67",2952.4,-1.3
"8",2009,"COLEX HOLDINGS LIMITED","197101485G","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,19264737,9026050,10238687,3415271,2793171,622100,15849466,"0.00",14523504,0,1325962,"0.00","0.00","0.00",0,"3.23","82.27","17.73",2952.4,-1.3
"9",2009,"ASL MARINE HOLDINGS LTD.","200008542N","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,185942000,150678000,35264000,87353000,76308000,11045000,98589000,"0.00",83051000,-815000,17276000,"0.00","0.00","0.00",0,"1.97","53.02","46.98",2952.4,-1.3
"10",2009,"EDITION LTD.","200411873E","Consolidated","PUBLIC COMPANY LIMITED BY SHARES","","",0,"",0,7512000,275000,7237000,117000,117000,0,7395000,"2.00",12667000,-50000,-4228000,"0.00","0.00","0.00",0,"2.35","98.44","1.56",2952.4,-1.3
